Domain,Size,AverageSentiment
abc.net.au,1933,-0.213774133471
abcn.ws,1519,-0.220321658986
abcnews.go.com,1503,-0.221453759148
af.reuters.com,206,-0.250572330097
al.com,716,-0.207335195531
alarabiya.net,640,-0.235681875
alertnet.org,220,-0.357918636364
aljazeera.com,2888,-0.280902527701
aljazeera.net,2115,-0.274043262411
alternet.org,308,-0.218969480519
america.aljazeera.com,256,-0.240144140625
american.com,314,-0.0526958598726
antiwar.com,264,-0.331722727273
ap.google.com,290,-0.225417931034
arstechnica.com,363,-0.132513498623
atimes.com,2893,-0.207952436917
bbc.co.uk,14817,-0.222421691301
bbc.com,4362,-0.226949495644
belfasttelegraph.co.uk,474,-0.272079746835
bigstory.ap.org,1167,-0.241577206512
bloomberg.com,1738,-0.123178711162
boston.com,306,-0.180081372549
breitbart.com,203,-0.187199507389
businessinsider.com,1133,-0.147231774051
businessweek.com,334,-0.149621856287
cbc.ca,2041,-0.190051592357
cbsnews.com,792,-0.24602979798
channelnewsasia.com,236,-0.207627118644
cnbc.com,389,-0.148266066838
cnn.com,5537,-0.235479320932
commondreams.org,489,-0.268883640082
csmonitor.com,894,-0.175989709172
ctvnews.ca,375,-0.199505066667
dailymail.co.uk,1964,-0.279705906314
dailynews.com,831,-0.221595547533
dailysabah.com,208,-0.226484615385
dailystar.com.lb,387,-0.279291731266
dawn.com,283,-0.241751943463
dw-world.de,339,-0.170121828909
dw.com,741,-0.258628205128
dw.de,570,-0.206973157895
economictimes.indiatimes.com,235,-0.0218119148936
economist.com,895,-0.121883575419
edition.cnn.com,1799,-0.241872040022
english.alarabiya.net,614,-0.236626710098
english.aljazeera.net,2026,-0.280215597236
english.yonhapnews.co.kr,231,-0.15685974026
euronews.com,288,-0.216118402778
examiner.com,235,-0.211980425532
express.co.uk,220,-0.273803181818
finance.yahoo.com,230,-0.149032173913
forbes.com,305,-0.0529970491803
foreignpolicy.com,700,-0.161788285714
foxnews.com,808,-0.226637871287
france24.com,1325,-0.234141509434
ft.com,346,-0.152816763006
gazette.com,202,-0.226910891089
globalpost.com,2178,-0.235255509642
google.com,2403,-0.218905243446
guardian.co.uk,7591,-0.239090488737
gulfnews.com,207,-0.230369082126
haaretz.com,2106,-0.174222934473
hindu.com,323,-0.15090247678
hindustantimes.com,257,-0.285287548638
hosted.ap.org,767,-0.239970664928
hrw.org,233,-0.382080257511
huffingtonpost.com,1387,-0.200770800288
hurriyetdailynews.com,562,-0.198330782918
ibtimes.co.uk,456,-0.267310307018
ibtimes.com,373,-0.240689544236
iht.com,310,-0.185062903226
in.reuters.com,468,-0.215232264957
independent.co.uk,5367,-0.249736817589
independent.ie,225,-0.216193777778
india.com,430,-0.20533372093
indianexpress.com,253,-0.239491699605
indiatimes.com,1285,-0.201091439689
infowars.com,260,-0.215858461538
inteldaily.com,378,-0.173150793651
irishtimes.com,349,-0.207453868195
israelnationalnews.com,279,-0.246449462366
japantimes.co.jp,498,-0.160554216867
jpost.com,1812,-0.212358222958
latimes.com,1382,-0.230810564399
links.org.au,291,-0.145447079038
mail.com,1299,-0.17457952271
mashable.com,207,-0.108928019324
mcclatchydc.com,232,-0.2083625
mirror.co.uk,342,-0.287338011696
mobile.reuters.com,213,-0.169247887324
money.cnn.com,338,-0.127663905325
msn.com,1438,-0.2213918637
msnbc.msn.com,1057,-0.227994323557
n.pr,343,-0.16075393586
nationalgeographic.com,270,-0.10241037037
nationalpost.com,883,-0.235409739524
nbcnews.com,886,-0.2254748307
ndtv.com,373,-0.19721233244
news.bbc.co.uk,5258,-0.20081006086
news.com,9438,-0.21577972028
news.com.au,1147,-0.199024585876
news.nationalgeographic.com,227,-0.104349779736
news.nationalpost.com,702,-0.251456980057
news.net,463,-0.26493412527
news.sky.com,733,-0.274653206003
news.vice.com,431,-0.266854756381
news.xinhuanet.com,487,-0.127225667351
news.yahoo.com,4710,-0.233390488323
news24.com,260,-0.288565
newsweek.com,367,-0.153240599455
npr.org,1149,-0.16706718886
nydailynews.com,248,-0.275020564516
nytimes.com,7225,-0.208355280277
nzherald.co.nz,296,-0.156238513514
observer.com,234,-0.108642735043
on.cnn.com,1801,-0.241756579678
online.wsj.com,697,-0.146941032999
phys.org,209,-0.0826411483254
presstv.ir,404,-0.23198539604
qz.com,336,-0.126872916667
rawstory.com,1000,-0.2494872
rd.com,229,-0.134681659389
reut.rs,11593,-0.209113033727
reuters.com,11572,-0.208653145524
rferl.org,249,-0.193208433735
rt.com,2633,-0.198422635777
salon.com,283,-0.260502826855
scientificamerican.com,305,-0.0514826229508
scmp.com,332,-0.189542168675
self.worldnews,650,-0.0557841538462
slate.com,282,-0.171008510638
smh.com.au,1213,-0.206033388293
spiegel.de,1839,-0.198474714519
sputniknews.com,279,-0.137694982079
stuff.co.nz,258,-0.162503488372
t.co,24799,-0.205832638413
techdirt.com,219,-0.149624657534
telegraph.co.uk,4733,-0.233117536446
telesurtv.net,289,-0.233188235294
theage.com.au,415,-0.234227710843
theatlantic.com,604,-0.199209602649
theatlanticwire.com,218,-0.213989449541
theaustralian.com.au,283,-0.242768904594
thedailybeast.com,386,-0.261528756477
thediplomat.com,236,-0.205457627119
theglobeandmail.com,1195,-0.169692970711
theguardian.com,7427,-0.221340379696
thehindu.com,307,-0.146154071661
thelocal.de,462,-0.209402164502
thelocal.se,397,-0.178418891688
themoscowtimes.com,504,-0.159762103175
theregister.co.uk,256,-0.115033203125
thestar.com,582,-0.253445017182
theverge.com,251,-0.121876095618
thinkprogress.org,280,-0.152180357143
thisislondon.co.uk,236,-0.22561059322
time.com,1122,-0.207007219251
timesofindia.indiatimes.com,1033,-0.243524491772
timesofisrael.com,1024,-0.218827539062
timesonline.co.uk,1004,-0.232049900398
today.com,1205,-0.202693858921
torrentfreak.com,397,-0.129184634761
translate.google.com,387,-0.174947803618
tribune.com.pk,224,-0.291054910714
trust.org,305,-0.282199672131
u.tv,294,-0.23693877551
uk.news.yahoo.com,246,-0.288446747967
uk.reuters.com,892,-0.182337668161
upi.com,545,-0.178202018349
usatoday.com,791,-0.218447029077
vice.com,762,-0.219542782152
voanews.com,474,-0.226232700422
washingtonpost.com,3209,-0.209643284512
washingtontimes.com,272,-0.214807352941
wired.com,327,-0.153364525994
wn.com,314,-0.234612101911
worldnews.nbcnews.com,283,-0.289929681979
wsj.com,895,-0.146622793296
wsws.org,317,-0.327079179811
yahoo.com,5464,-0.224336346999
ynetnews.com,1078,-0.22080148423
youtube.com,1478,-0.174650135318
